year,price_usd_per_troy_oz,frequency,source,source_url,notes
1978,193.240,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1979,306.668,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1980,607.860,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1981,459.750,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1982,375.800,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1983,422.530,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1984,360.478,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1985,317.910,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1986,367.694,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1987,446.470,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1988,437.050,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1989,381.432,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1990,383.467,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1991,362.180,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1992,343.733,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1993,359.770,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1994,384.010,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1995,384.160,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1996,387.700,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1997,331.096,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1998,294.160,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
1999,278.768,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2000,279.030,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2001,270.989,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2002,309.970,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2003,363.509,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2004,409.210,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2005,444.840,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2006,604.340,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2007,696.720,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
2008,871.710,annual,DataHub core/gold-prices annual.csv,https://datahub.io/core/gold-prices/r/annual.csv,Annual observation from source file
