year_month,index_level,frequency,source,source_url,notes
2007-04,3558.71,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-05,3927.95,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-06,3764.08,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-07,4460.56,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-08,5296.81,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-09,5580.81,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-10,5688.54,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-11,4737.41,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2007-12,5338.27,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2008-01,4620.40,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2008-02,4674.55,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2008-03,3790.53,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2008-04,3959.12,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2008-05,3611.33,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2008-06,2791.82,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2008-07,2805.21,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2008-08,2391.64,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
2008-09,2243.66,monthly,Eastmoney kline API,https://quote.eastmoney.com/,"CSI 300 (沪深300) monthly close, last trading day of each month; unadjusted (fqt=0); source: Eastmoney kline API secid=1.000300 klt=103"
