year,index_level,frequency,source,source_url,notes
1971,98.283,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1972,109.208,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1973,107.423,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1974,82.552,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1975,86.156,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1976,102.022,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1977,98.210,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1978,96.020,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1979,103.022,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1980,118.783,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1981,128.042,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1982,119.725,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1983,160.425,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1984,160.467,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1985,186.850,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1986,236.358,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1987,286.842,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1988,265.783,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1989,322.833,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1990,334.588,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1991,376.178,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1992,415.744,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1993,451.407,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1994,460.329,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1995,541.638,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1996,670.828,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1997,872.673,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1998,1084.311,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
1999,1326.061,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2000,1427.007,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2001,1192.078,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2002,995.630,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2003,963.689,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2004,1130.547,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2005,1207.061,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2006,1310.670,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2007,1476.633,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2008,1220.888,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2009,946.736,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2010,1139.307,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2011,1268.890,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2012,1379.563,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2013,1642.512,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2014,1930.667,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2015,2061.199,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2016,2091.844,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2017,2448.218,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2018,2744.680,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2019,2912.501,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2020,3218.501,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2021,4266.794,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2022,4100.700,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2023,4293.136,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2024,5426.708,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
2025,6210.970,annual,DataHub core/s-and-p-500 data.csv,https://datahub.io/core/s-and-p-500,Annual average calculated from 12 monthly S&P 500 observations
